,TYPE,MainBranch,Country,ConvertedCompYearly,Employment
31065,Manager,I am a developer by profession,Bulgaria,31992.0,"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time"
31066,Data,I am a developer by profession,United States of America,140000.0,"Employed, full-time"
31067,Testing/Apps/mobile,I am a developer by profession,United States of America,253000.0,"Employed, full-time"
31068,Developer FS,I am a developer by profession,India,27852.0,"Employed, full-time"
31069,Developer BE,I am a developer by profession,Brazil,7476.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31070,Data,I am a developer by profession,United States of America,55000.0,"Employed, full-time"
31071,Data,I am a developer by profession,Costa Rica,15500.0,"Employed, full-time"
31073,Developer FE,I am a developer by profession,Latvia,52464.0,"Employed, full-time"
31074,Data,"I am not primarily a developer, but I write code sometimes as part of my work",Brazil,7980.0,"Employed, full-time"
31076,Data,I am a developer by profession,Israel,149464.0,"Employed, part-time"
31077,Developer FS,I am a developer by profession,Germany,58872.0,"Employed, full-time"
31078,Admin,"I am not primarily a developer, but I write code sometimes as part of my work",Sweden,91416.0,"Employed, full-time"
31080,Developer FS,I am a developer by profession,Germany,44796.0,"Employed, full-time"
31082,Manager,"I am not primarily a developer, but I write code sometimes as part of my work",United States of America,190000.0,"Employed, full-time"
31083,Educator,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,37692.0,"Employed, full-time"
31084,Developer FE,I am a developer by profession,Germany,66119.0,"Employed, full-time"
31086,Educator,"I am not primarily a developer, but I write code sometimes as part of my work",United Kingdom of Great Britain and Northern Ireland,32666.0,"Employed, full-time"
31089,Data,"I am not primarily a developer, but I write code sometimes as part of my work",Switzerland,155129.0,"Employed, full-time"
31091,Testing/Apps/mobile,I am a developer by profession,Germany,79983.0,"Employed, full-time"
31092,Developer FS,I am a developer by profession,Russian Federation,93516.0,"Employed, full-time"
31095,Testing/Apps/mobile,I am a developer by profession,Uruguay,65676.0,"Employed, full-time"
31097,Manager,"I am not primarily a developer, but I write code sometimes as part of my work",Bahrain,143040.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31098,Developer FS,I am a developer by profession,United States of America,40000.0,"Employed, full-time"
31100,Game Dev,I am a developer by profession,United States of America,100000.0,"Employed, full-time"
31101,Manager,I am a developer by profession,Netherlands,48900.0,"Employed, full-time"
31102,Data,I am a developer by profession,Bulgaria,129233.0,"Employed, full-time"
31103,Data,I am a developer by profession,Greece,19516.0,"Employed, full-time"
31104,Developer FS,I am a developer by profession,Brazil,97224.0,"Employed, full-time"
31105,Developer FS,I am a developer by profession,United States of America,170000.0,"Employed, full-time"
31106,Data,I am a developer by profession,France,40525.0,"Employed, full-time"
31107,Developer FS,I am a developer by profession,Spain,15360.0,"Employed, full-time"
31109,Educator,I am a developer by profession,Italy,31993.0,"Employed, full-time"
31110,Developer FS,I am a developer by profession,United States of America,125000.0,"Employed, full-time"
31111,Developer FS,I am a developer by profession,United States of America,350000.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31112,Developer BE,I am a developer by profession,United States of America,88500.0,"Employed, full-time"
31113,Data,I am a developer by profession,Brazil,90000.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31114,Data,I am a developer by profession,United States of America,160000.0,"Employed, full-time"
31116,Manager,I am a developer by profession,Slovenia,38388.0,"Employed, full-time"
31117,Developer FS,I am a developer by profession,United States of America,71000.0,"Employed, full-time"
31119,Testing/Apps/mobile,I am a developer by profession,Romania,51192.0,"Independent contractor, freelancer, or self-employed"
31121,Manager,I am a developer by profession,India,23215.0,"Employed, full-time"
31127,Manager,I am a developer by profession,France,159966.0,"Employed, full-time"
31128,Developer BE,I am a developer by profession,India,10000.0,"Employed, full-time"
31129,Developer BE,I am a developer by profession,Brazil,300000.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31132,Data,I am a developer by profession,United States of America,100000.0,"Employed, full-time"
31133,Developer BE,I am a developer by profession,Czech Republic,31176.0,"Employed, full-time"
31135,Testing/Apps/mobile,I am a developer by profession,Portugal,21756.0,"Employed, full-time"
31138,Developer BE,I am a developer by profession,Portugal,26661.0,"Employed, full-time"
31139,Data,"I am not primarily a developer, but I write code sometimes as part of my work",Italy,6399.0,"Independent contractor, freelancer, or self-employed"
31140,Manager,I am a developer by profession,Germany,61824.0,"Independent contractor, freelancer, or self-employed"
31141,Developer FS,I am a developer by profession,Germany,76783.0,"Employed, part-time"
31143,Manager,I am a developer by profession,Germany,74864.0,"Employed, full-time"
31144,Developer BE,I am a developer by profession,Italy,28794.0,"Employed, full-time"
31145,Manager,"I am not primarily a developer, but I write code sometimes as part of my work",United States of America,93000.0,"Employed, full-time"
31149,Data,I am a developer by profession,Romania,12420.0,"Employed, full-time"
31152,Developer FE,I am a developer by profession,Ecuador,30000.0,"Employed, full-time"
31153,Manager,"I am not primarily a developer, but I write code sometimes as part of my work",Portugal,47990.0,"Employed, full-time"
31154,Developer FS,I am a developer by profession,Brazil,12708.0,"Employed, full-time"
31159,Data,"I am not primarily a developer, but I write code sometimes as part of my work",United States of America,104000.0,"Employed, full-time"
31160,Data,"I am not primarily a developer, but I write code sometimes as part of my work",United States of America,250000.0,"Employed, full-time"
31161,Developer FS,I am a developer by profession,United States of America,105000.0,"Employed, full-time"
31162,Developer FE,"I am not primarily a developer, but I write code sometimes as part of my work",United States of America,135000.0,"Employed, full-time"
31164,Data,"I am not primarily a developer, but I write code sometimes as part of my work",Russian Federation,14544.0,"Employed, full-time"
31167,Developer FS,I am a developer by profession,United States of America,80000.0,"Employed, full-time"
31171,Manager,I am a developer by profession,Poland,55500.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31173,Developer FS,I am a developer by profession,United States of America,72000.0,"Employed, full-time"
31175,Data,I am a developer by profession,United States of America,750000.0,"Employed, full-time"
31178,Developer BE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,633228.0,"Employed, full-time"
31181,Developer FE,I am a developer by profession,Ukraine,1464.0,"Employed, full-time"
31182,Manager,"I am not primarily a developer, but I write code sometimes as part of my work",France,70385.0,"Employed, full-time"
31183,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,1206132.0,"Employed, full-time"
31185,Developer FE,I am a developer by profession,Portugal,11052.0,"Employed, full-time"
31188,Developer FS,I am a developer by profession,Bangladesh,5685.0,"Employed, full-time"
31189,Developer BE,I am a developer by profession,Canada,156168.0,"Employed, full-time"
31193,Testing/Apps/mobile,I am a developer by profession,United States of America,145000.0,"Employed, full-time"
31195,Developer FE,I am a developer by profession,United States of America,130000.0,"Employed, full-time"
31196,Developer BE,I am a developer by profession,United States of America,142000.0,"Employed, full-time"
31197,Developer FS,I am a developer by profession,United States of America,105000.0,"Employed, full-time"
31198,Data,I am a developer by profession,Brazil,24924.0,"Employed, full-time"
31199,Developer BE,I am a developer by profession,Germany,819024.0,"Employed, full-time"
31200,Manager,"I am not primarily a developer, but I write code sometimes as part of my work",Brazil,18696.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31204,Developer FS,I am a developer by profession,United States of America,100000.0,"Employed, full-time"
31206,Manager,I am a developer by profession,Argentina,60588.0,"Employed, full-time"
31207,Manager,I am a developer by profession,Poland,133300.0,"Independent contractor, freelancer, or self-employed"
31208,Developer FS,I am a developer by profession,United States of America,230000.0,"Employed, full-time"
31211,Manager,I am a developer by profession,Brazil,13716.0,"Employed, full-time"
31212,Developer FS,I am a developer by profession,New Zealand,77200.0,"Employed, full-time"
31213,Data,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,314098.0,"Independent contractor, freelancer, or self-employed"
31214,Developer BE,I am a developer by profession,United States of America,250000.0,"Employed, full-time"
31216,Data,I am a developer by profession,Egypt,16300.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31217,Developer FS,I am a developer by profession,Canada,101509.0,"Employed, full-time"
31218,Developer FS,I am a developer by profession,United States of America,87500.0,"Employed, full-time"
31222,Developer BE,I am a developer by profession,United States of America,153700.0,"Employed, full-time"
31223,Developer FS,I am a developer by profession,United States of America,85000.0,"Employed, full-time"
31225,DevOps,I am a developer by profession,United States of America,105000.0,"Employed, full-time"
31226,Developer FS,I am a developer by profession,Brazil,9228.0,"Employed, full-time"
31227,Manager,"I am not primarily a developer, but I write code sometimes as part of my work",United States of America,200000.0,"Employed, full-time"
31228,DevOps,I am a developer by profession,United States of America,124000.0,"Employed, full-time"
31229,Developer FS,I am a developer by profession,Bulgaria,39264.0,"Employed, full-time"
31230,Developer FS,I am a developer by profession,United States of America,135000.0,"Employed, full-time"
31231,Developer FE,I am a developer by profession,Bulgaria,26172.0,"Employed, full-time"
31235,Data,I am a developer by profession,Poland,46250.0,"Employed, full-time"
31237,Developer FE,I am a developer by profession,United States of America,172000.0,"Employed, full-time"
31239,Developer FS,I am a developer by profession,United States of America,100000.0,"Employed, full-time"
31242,Testing/Apps/mobile,I am a developer by profession,Russian Federation,74808.0,"Employed, full-time"
31243,Testing/Apps/mobile,I am a developer by profession,United States of America,180000.0,"Employed, full-time"
31245,Manager,I am a developer by profession,Brazil,49860.0,"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time"
31246,Developer FE,I am a developer by profession,United States of America,100000.0,"Employed, full-time"
31247,Developer FS,I am a developer by profession,United States of America,170000.0,"Employed, full-time"
31248,Developer FS,I am a developer by profession,Pakistan,9576.0,"Employed, full-time"
31249,Developer FS,I am a developer by profession,United States of America,160000.0,"Employed, full-time"
31252,Developer FS,I am a developer by profession,United States of America,160000.0,"Employed, full-time"
31253,Other (please specify):,"I am not primarily a developer, but I write code sometimes as part of my work",United Kingdom of Great Britain and Northern Ireland,89204.0,"Employed, full-time"
31255,Testing/Apps/mobile,"I am not primarily a developer, but I write code sometimes as part of my work",Australia,42450.0,"Employed, full-time"
31257,Developer FS,I am a developer by profession,Canada,85893.0,"Employed, full-time"
31259,Developer FS,I am a developer by profession,Canada,50755.0,"Employed, full-time"
31260,Manager,I am a developer by profession,Italy,67186.0,"Employed, full-time"
31267,Developer FS,I am a developer by profession,Brazil,46.0,"Employed, full-time"
31269,Developer FS,I am a developer by profession,Germany,175962.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31271,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,50256.0,"Employed, full-time"
31272,Developer BE,I am a developer by profession,United States of America,65000.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31273,Developer FS,I am a developer by profession,Greece,11731.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31275,Developer BE,I am a developer by profession,France,1279728.0,"Employed, full-time"
31279,Developer FS,I am a developer by profession,Hungary,33480.0,"Employed, full-time"
31282,Developer BE,I am a developer by profession,United States of America,350000.0,"Employed, full-time"
31284,Developer FS,I am a developer by profession,Germany,106644.0,"Independent contractor, freelancer, or self-employed"
31287,Manager,I am a developer by profession,Australia,194621.0,"Employed, full-time"
31288,Manager,I am a developer by profession,Canada,62467.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31289,Manager,I am a developer by profession,United States of America,115000.0,"Employed, full-time"
31290,Developer BE,I am a developer by profession,United States of America,190000.0,"Employed, full-time"
31291,Developer FS,"I am not primarily a developer, but I write code sometimes as part of my work",United States of America,270000.0,"Employed, full-time"
31294,DevOps,"I am not primarily a developer, but I write code sometimes as part of my work",Denmark,134220.0,"Employed, full-time"
31295,Developer BE,I am a developer by profession,Chile,36144.0,"Employed, full-time"
31296,Manager,I am a developer by profession,United States of America,100000.0,"Employed, full-time"
31297,Developer FS,I am a developer by profession,Ukraine,40608.0,"Employed, full-time"
31302,Developer BE,I am a developer by profession,United States of America,400000.0,"Employed, full-time"
31304,Developer BE,I am a developer by profession,United States of America,175000.0,"Employed, full-time"
31305,Testing/Apps/mobile,I am a developer by profession,United States of America,637000.0,"Employed, full-time"
31306,Developer FS,I am a developer by profession,United States of America,80000.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31308,Data,I am a developer by profession,Germany,84456.0,"Employed, full-time"
31309,Developer FS,I am a developer by profession,Belgium,63986.0,"Independent contractor, freelancer, or self-employed"
31311,Educator,I am a developer by profession,Russian Federation,44400.0,"Employed, full-time;Employed, part-time"
31313,Developer FS,I am a developer by profession,Ireland,895812.0,"Employed, full-time"
31315,Developer FS,I am a developer by profession,Brazil,16152.0,"Employed, full-time"
31316,Data,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,75384.0,"Employed, full-time"
31317,Developer BE,I am a developer by profession,Canada,66372.0,"Employed, full-time"
31318,Developer FS,I am a developer by profession,Slovakia,89580.0,"Independent contractor, freelancer, or self-employed"
31321,Manager,I am a developer by profession,Japan,172522.0,"Employed, full-time"
31323,Developer FS,I am a developer by profession,United States of America,170000.0,"Employed, full-time"
31325,Manager,I am a developer by profession,France,85315.0,"Employed, full-time"
31332,Developer FE,I am a developer by profession,Morocco,14543.0,"Employed, full-time"
31336,Developer FS,I am a developer by profession,Germany,122640.0,"Independent contractor, freelancer, or self-employed"
31338,Developer FE,I am a developer by profession,Japan,120000.0,"Employed, full-time"
31340,Manager,I am a developer by profession,United States of America,550000.0,"Independent contractor, freelancer, or self-employed"
31341,Developer FS,I am a developer by profession,United States of America,105000.0,"Employed, full-time"
31342,Data,"I am not primarily a developer, but I write code sometimes as part of my work",United States of America,130000.0,"Independent contractor, freelancer, or self-employed;Employed, part-time"
31348,Other (please specify):,I am a developer by profession,United States of America,260000.0,"Employed, full-time"
31349,Developer BE,I am a developer by profession,Chile,36600.0,"Employed, full-time"
31350,Developer FE,I am a developer by profession,Peru,5784.0,"Employed, part-time"
31354,Developer FS,I am a developer by profession,United States of America,117700.0,"Employed, full-time"
31355,Developer FS,I am a developer by profession,United States of America,165000.0,"Employed, full-time"
31356,Manager,I am a developer by profession,Italy,41591.0,"Employed, full-time"
31362,Testing/Apps/mobile,I am a developer by profession,United States of America,148000.0,"Employed, full-time"
31363,Developer BE,I am a developer by profession,United States of America,36000.0,"Employed, part-time"
31364,Testing/Apps/mobile,I am a developer by profession,United States of America,129850.0,"Employed, full-time"
31365,Developer FS,I am a developer by profession,"Iran, Islamic Republic of...",22692.0,"Independent contractor, freelancer, or self-employed"
31366,Manager,"I am not primarily a developer, but I write code sometimes as part of my work",Brazil,19944.0,"Employed, full-time"
31368,Data,"I am not primarily a developer, but I write code sometimes as part of my work",United Kingdom of Great Britain and Northern Ireland,56538.0,"Employed, full-time"
31374,Educator,I am a developer by profession,Iceland,106644.0,"Employed, full-time"
31376,Developer FS,I am a developer by profession,Turkey,50108.0,"Employed, full-time"
31378,Developer FS,I am a developer by profession,Mexico,12544.0,"Employed, full-time"
31381,Manager,I am a developer by profession,United States of America,135000.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31382,Testing/Apps/mobile,I am a developer by profession,United States of America,76000.0,"Employed, full-time"
31383,Game Dev,I am a developer by profession,United States of America,72000.0,"Independent contractor, freelancer, or self-employed"
31385,Manager,I am a developer by profession,United States of America,170000.0,"Employed, full-time"
31387,Developer FS,I am a developer by profession,Morocco,3612.0,"Employed, full-time"
31388,Developer FS,I am a developer by profession,United States of America,104000.0,"Employed, full-time"
31389,Data,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,271381.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31390,Manager,"I am not primarily a developer, but I write code sometimes as part of my work",Canada,140551.0,"Employed, full-time"
31392,Other (please specify):,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,177729.0,"Employed, full-time"
31394,Developer FS,I am a developer by profession,United States of America,200000.0,"Employed, full-time"
31395,Developer FS,I am a developer by profession,Portugal,40308.0,"Employed, full-time"
31397,Developer FS,I am a developer by profession,United States of America,200000.0,"Employed, full-time"
31398,Developer BE,I am a developer by profession,Canada,296720.0,"Employed, full-time"
31401,Admin,"I am not primarily a developer, but I write code sometimes as part of my work",Australia,176928.0,"Employed, full-time"
31402,Testing/Apps/mobile,I am a developer by profession,Germany,62387.0,"Employed, full-time"
31403,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,50256.0,"Independent contractor, freelancer, or self-employed"
31406,Developer FS,I am a developer by profession,United States of America,110000.0,"Employed, full-time"
31407,Testing/Apps/mobile,I am a developer by profession,United States of America,130000.0,"Employed, full-time"
31412,Data,I am a developer by profession,Belgium,44796.0,"Employed, full-time"
31413,Developer FS,I am a developer by profession,Senegal,36596.0,"Employed, full-time"
31417,Developer FS,I am a developer by profession,Canada,62467.0,"Employed, full-time"
31418,Developer FS,I am a developer by profession,Argentina,175104.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31419,Developer BE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,603072.0,"Employed, full-time"
31420,Data,I am a developer by profession,Chile,21684.0,"Employed, full-time"
31422,Manager,I am a developer by profession,United States of America,200000.0,"Employed, full-time"
31423,Developer FS,I am a developer by profession,Canada,163977.0,"Employed, full-time"
31424,Developer FS,I am a developer by profession,United States of America,180000.0,"Employed, full-time"
31427,Developer BE,I am a developer by profession,Australia,1078548.0,"Employed, full-time"
31428,Educator,I am a developer by profession,Peru,8040.0,"Independent contractor, freelancer, or self-employed"
31429,Developer FS,I am a developer by profession,New Zealand,45300.0,"Employed, full-time"
31431,Developer FS,I am a developer by profession,Mexico,4212.0,"Employed, part-time"
31433,Testing/Apps/mobile,I am a developer by profession,Colombia,13584.0,"Employed, full-time"
31434,Developer FS,I am a developer by profession,Australia,88464.0,"Independent contractor, freelancer, or self-employed;Employed, part-time"
31436,Developer FS,I am a developer by profession,Portugal,79983.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31438,Manager,I am a developer by profession,United States of America,211000.0,"Employed, full-time"
31439,Developer FE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,54025.0,"Employed, full-time"
31441,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,45230.0,"Employed, full-time"
31442,Developer FS,I am a developer by profession,United States of America,92700.0,"Employed, full-time"
31445,Testing/Apps/mobile,I am a developer by profession,Uruguay,77085.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31446,Data,I am a developer by profession,United States of America,125000.0,"Employed, full-time"
31447,Testing/Apps/mobile,I am a developer by profession,United States of America,200000.0,"Employed, full-time"
31448,Developer FS,I am a developer by profession,Germany,70380.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31452,Data,I am a developer by profession,United States of America,200000.0,"Employed, full-time"
31453,Testing/Apps/mobile,I am a developer by profession,Belgium,160000.0,"Independent contractor, freelancer, or self-employed"
31455,Data,I am a developer by profession,Brazil,83093.0,"Employed, full-time"
31457,Developer FS,I am a developer by profession,Mexico,9636.0,"Employed, full-time"
31462,Developer FS,I am a developer by profession,Canada,142113.0,"Employed, full-time"
31463,Manager,I am a developer by profession,United States of America,165000.0,"Employed, full-time"
31464,Developer BE,I am a developer by profession,United States of America,313000.0,"Employed, full-time"
31465,Developer FS,I am a developer by profession,New Zealand,69480.0,"Employed, full-time"
31466,Educator,I am a developer by profession,Czech Republic,76387.0,"Independent contractor, freelancer, or self-employed"
31467,Developer FS,I am a developer by profession,Costa Rica,39648.0,"Employed, full-time"
31468,Manager,I am a developer by profession,Argentina,60000.0,"Independent contractor, freelancer, or self-employed"
31469,Manager,I am a developer by profession,Canada,70276.0,"Employed, full-time"
31470,Manager,I am a developer by profession,Kenya,60000.0,"Independent contractor, freelancer, or self-employed"
31473,Manager,"I am not primarily a developer, but I write code sometimes as part of my work",Israel,2152284.0,"Employed, full-time"
31476,Data,I am a developer by profession,United States of America,155000.0,"Employed, full-time"
31478,Developer BE,I am a developer by profession,United States of America,86000.0,"Employed, full-time"
31481,Developer FS,I am a developer by profession,Austria,149301.0,"Employed, full-time"
31482,Admin,"I am not primarily a developer, but I write code sometimes as part of my work",Canada,78084.0,"Employed, full-time"
31483,Developer FS,I am a developer by profession,United States of America,180000.0,"Employed, full-time"
31485,Developer FS,I am a developer by profession,"Iran, Islamic Republic of...",24108.0,"Employed, full-time"
31488,Developer FS,I am a developer by profession,France,76788.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31493,Developer FS,I am a developer by profession,Canada,128839.0,"Employed, full-time"
31494,Developer FS,I am a developer by profession,United States of America,130000.0,"Employed, full-time"
31501,Data,"I am not primarily a developer, but I write code sometimes as part of my work",Australia,106157.0,"Employed, full-time"
31503,Manager,I am a developer by profession,Colombia,72468.0,"Employed, full-time"
31504,Developer FS,I am a developer by profession,Australia,169851.0,"Employed, full-time"
31505,Developer FS,I am a developer by profession,New Zealand,32167.0,"Employed, full-time"
31506,Developer FS,I am a developer by profession,Canada,58563.0,"Employed, full-time"
31509,Manager,I am a developer by profession,Czech Republic,51960.0,"Independent contractor, freelancer, or self-employed"
31511,Educator,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,85435.0,"Employed, full-time"
31519,Developer FS,I am a developer by profession,Australia,51663.0,"Employed, full-time"
31521,Developer FS,I am a developer by profession,New Zealand,64333.0,"Employed, full-time"
31522,Manager,I am a developer by profession,Singapore,113472.0,"Employed, full-time"
31524,Developer FS,I am a developer by profession,United States of America,250000.0,"Employed, full-time"
31525,Developer FS,I am a developer by profession,Colombia,49824.0,"Employed, full-time"
31529,Developer FE,I am a developer by profession,Australia,772824.0,"Employed, full-time"
31537,Developer FS,I am a developer by profession,United States of America,180000.0,"Employed, full-time"
31538,Developer FS,I am a developer by profession,Australia,254772.0,"Independent contractor, freelancer, or self-employed"
31540,Data,"I am not primarily a developer, but I write code sometimes as part of my work",Australia,81387.0,"Employed, full-time"
31541,Developer FE,I am a developer by profession,United States of America,136000.0,"Employed, full-time"
31542,Data,"I am not primarily a developer, but I write code sometimes as part of my work",New Zealand,77200.0,"Employed, full-time"
31545,Data,I am a developer by profession,Australia,219390.0,"Employed, full-time"
31546,Developer BE,I am a developer by profession,Canada,101509.0,"Employed, full-time"
31548,Educator,"I am not primarily a developer, but I write code sometimes as part of my work",Australia,265400.0,"Independent contractor, freelancer, or self-employed"
31552,Manager,"I am not primarily a developer, but I write code sometimes as part of my work",Australia,95541.0,"Employed, full-time"
31553,Developer FS,I am a developer by profession,Australia,70771.0,"Employed, full-time"
31555,DevOps,I am a developer by profession,Australia,84925.0,"Employed, full-time"
31556,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,67217.0,"Employed, full-time"
31557,Developer FE,I am a developer by profession,Australia,55732.0,"Employed, full-time"
31558,Developer FS,I am a developer by profession,Australia,70771.0,"Employed, full-time"
31559,Manager,I am a developer by profession,Australia,84925.0,"Employed, full-time"
31561,Developer FS,I am a developer by profession,United States of America,92500.0,"Employed, full-time"
31562,Manager,"I am not primarily a developer, but I write code sometimes as part of my work",Canada,97605.0,"Employed, full-time"
31564,Testing/Apps/mobile,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,45230.0,"Employed, full-time"
31565,Manager,I am a developer by profession,Australia,113234.0,"Employed, full-time"
31567,Developer FS,I am a developer by profession,Australia,159250.0,"Employed, full-time"
31568,Developer FS,I am a developer by profession,Peru,25728.0,"Employed, full-time"
31569,Developer FS,I am a developer by profession,United States of America,1956000.0,"Employed, full-time"
31570,Manager,I am a developer by profession,Brazil,22440.0,"Employed, full-time"
31571,DevOps,"I am not primarily a developer, but I write code sometimes as part of my work",United States of America,125000.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31572,Developer FS,I am a developer by profession,New Zealand,156330.0,"Employed, full-time"
31573,Developer BE,I am a developer by profession,United States of America,110000.0,"Employed, full-time"
31574,Developer FS,I am a developer by profession,United States of America,350000.0,"Employed, full-time"
31577,Developer FS,I am a developer by profession,Australia,84925.0,"Employed, full-time"
31580,Educator,I am a developer by profession,Sweden,175524.0,"Independent contractor, freelancer, or self-employed"
31581,Manager,I am a developer by profession,United States of America,185000.0,"Independent contractor, freelancer, or self-employed"
31583,Manager,"I am not primarily a developer, but I write code sometimes as part of my work",United States of America,200000.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31585,Manager,I am a developer by profession,United States of America,200000.0,"Employed, full-time"
31586,Developer FS,I am a developer by profession,New Zealand,77200.0,"Employed, full-time"
31589,Game Dev,I am a developer by profession,Costa Rica,31200.0,"Independent contractor, freelancer, or self-employed"
31592,Developer FS,I am a developer by profession,Australia,70771.0,"Employed, full-time"
31593,Data,I am a developer by profession,Australia,176950.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31594,Manager,I am a developer by profession,Australia,58740.0,"Employed, full-time"
31598,Developer FS,I am a developer by profession,Australia,53078.0,"Employed, full-time"
31602,Developer FS,I am a developer by profession,Australia,84925.0,"Employed, full-time"
31603,Developer FS,I am a developer by profession,Nigeria,18756.0,"Employed, full-time"
31604,Developer FS,I am a developer by profession,New Zealand,2090850.0,"Employed, full-time"
31606,Developer FS,I am a developer by profession,Indonesia,20484.0,"Employed, full-time"
31608,Manager,I am a developer by profession,France,79983.0,"Independent contractor, freelancer, or self-employed"
31609,Testing/Apps/mobile,I am a developer by profession,Australia,106157.0,"Employed, full-time"
31610,Admin,"I am not primarily a developer, but I write code sometimes as part of my work",Australia,82736.0,"Employed, full-time"
31612,Data,"I am not primarily a developer, but I write code sometimes as part of my work",United States of America,125000.0,"Employed, full-time"
31620,Data,"I am not primarily a developer, but I write code sometimes as part of my work",Uruguay,746.0,"Independent contractor, freelancer, or self-employed"
31622,Developer FS,I am a developer by profession,United States of America,5750000.0,"Employed, full-time"
31623,Manager,I am a developer by profession,United States of America,95000.0,"Employed, full-time"
31627,DevOps,I am a developer by profession,United States of America,145000.0,"Employed, full-time"
31630,Developer FS,I am a developer by profession,Australia,56904.0,"Employed, full-time"
31631,Game Dev,I am a developer by profession,Colombia,5136.0,"Employed, full-time"
31632,Developer BE,I am a developer by profession,Brazil,24924.0,"Employed, full-time"
31634,Manager,I am a developer by profession,New Zealand,102933.0,"Employed, full-time"
31635,Developer FS,I am a developer by profession,United States of America,156000.0,"Employed, full-time"
31637,Data,"I am not primarily a developer, but I write code sometimes as part of my work",United States of America,90000.0,"Employed, full-time"
31639,Educator,I am a developer by profession,Mexico,28850.0,"Employed, full-time"
31640,Manager,"I am not primarily a developer, but I write code sometimes as part of my work",Peru,27012.0,"Employed, full-time"
31643,Developer FE,I am a developer by profession,South Korea,23748.0,"Employed, full-time"
31647,Developer FS,I am a developer by profession,Australia,92002.0,"Employed, full-time"
31654,Developer FS,"I am not primarily a developer, but I write code sometimes as part of my work",Australia,184005.0,"Employed, full-time"
31655,Developer FE,I am a developer by profession,Australia,116772.0,"Employed, full-time"
31657,Developer FS,I am a developer by profession,Republic of Korea,31300.0,"Employed, full-time"
31658,Developer FS,I am a developer by profession,Australia,86341.0,"Employed, full-time"
31659,DevOps,I am a developer by profession,United States of America,115000.0,"Employed, full-time"
31661,Developer FS,I am a developer by profession,Taiwan,16224.0,"Employed, full-time"
31662,Developer BE,I am a developer by profession,New Zealand,68.0,"Employed, full-time"
31663,Developer BE,I am a developer by profession,Singapore,104741.0,"Employed, full-time"
31664,Developer FS,I am a developer by profession,Japan,1317444.0,"Independent contractor, freelancer, or self-employed"
31666,Developer FS,I am a developer by profession,Canada,41385.0,"Employed, full-time"
31667,Developer FS,I am a developer by profession,Canada,110879.0,"Employed, full-time"
31669,Developer BE,I am a developer by profession,Australia,99080.0,"Employed, full-time"
31670,Manager,"I am not primarily a developer, but I write code sometimes as part of my work",South Korea,33240.0,"Employed, full-time"
31672,Developer FS,I am a developer by profession,Japan,70577.0,"Employed, full-time"
31674,Developer FS,I am a developer by profession,United States of America,220000.0,"Employed, full-time"
31675,Data,"I am not primarily a developer, but I write code sometimes as part of my work",Indonesia,46421.0,"Employed, full-time"
31677,Data,I am a developer by profession,United States of America,300000.0,"Employed, full-time"
